node_id,community_id
10000901,0
10003376,0
10003530,0
10006512,0
10007989,0
10008448,0
1000868,0
10010848,0
10011269,0
10011451,0
10011717,0
10012313,0
1001295,0
1001374,0
10015133,0
10018112,0
10018925,0
10019224,0
10019763,0
100200,0
100201,0
10020758,0
10021537,0
100243,0
10025861,0
10026763,0
10027552,0
10031516,0
10031901,0
10032901,0
10034292,0
10036697,0
10036894,0
10038178,0
10038885,0
10044098,0
10045776,0
10046638,0
10048190,0
10048314,0
10051553,0
10053038,0
10053251,0
10053936,0
10054043,0
10057465,0
10057655,0
10059007,0
10059024,0
10059062,0
10059889,0
10060017,0
10063707,0
10065062,0
10066214,0
100665,0
10066831,0
10066881,0
10067043,0
10068182,0
10068372,0
10068686,0
10069331,0
10069346,0
10069352,0
10069369,0
10069389,0
10069400,0
10069405,0
10069414,0
10069431,0
10069439,0
10069453,0
10069454,0
10069457,0
10069474,0
10069475,0
10069484,0
10069485,0
10069731,0
10070087,0
10070100,0
10073948,0
10074333,0
10074346,0
10074662,0
10075368,0
10076509,0
10079276,0
10081758,0
10082112,0
10082243,0
10084061,0
10084282,0
10084810,0
10086209,0
10086870,0
10087382,0
10087415,0
10087457,0
10087472,0
10087480,0
10089673,0
10092672,0
10094690,0
10094780,0
10095785,0
10096895,0
10097025,0
1009897,0
10099895,0
10100063,0
10102620,0
10103612,0
10103979,0
10105154,0
1010517,0
10105232,0
10105307,0
10105367,0
10106092,0
10106168,0
10106229,0
10106888,0
10107683,0
10109433,0
10110031,0
10111324,0
10112515,0
10112692,0
10112792,0
10113048,0
10114065,0
10114410,0
101172,0
10120592,0
10120982,0
10124470,0
10126186,0
10126708,0
10128034,0
10131158,0
10133091,0
10133431,0
10141115,0
10142519,0
10143094,0
10145912,0
10145980,0
10146827,0
1014954,0
10150980,0
10151789,0
10152066,0
10153528,0
10155820,0
10161522,0
10162507,0
10164258,0
10165529,0
10168469,0
10169583,0
10169723,0
10170734,0
10171162,0
10172191,0
10172196,0
10173065,0
1017314,0
10174244,0
10177782,0
10178776,0
10181256,0
10181298,0
10182191,0
10184722,0
10184759,0
10184789,0
10184823,0
10185889,0
10186004,0
10187001,0
10187252,0
10187618,0
10188894,0
10189347,0
10191991,0
10192817,0
10193770,0
10194324,0
10196088,0
10196326,0
10196672,0
10196928,0
10199288,0
10200207,0
10202980,0
10205268,0
10205470,0
10206309,0
10208351,0
10209433,0
10209808,0
10209820,0
10210886,0
10212000,0
10212066,0
10213106,0
10214125,0
10214422,0
10214618,0
10215907,0
102161,0
10216201,0
10217067,0
10219484,0
10219990,0
10220251,0
10220261,0
10220272,0
10220563,0
10220703,0
10222579,0
10223633,0
10224403,0
10225273,0
10225480,0
102263,0
10226403,0
10227085,0
10228366,0
10233990,0
10234220,0
10235310,0
10237073,0
10237146,0
10237485,0
10238007,0
10238437,0
10238653,0
10241772,0
10242689,0
10244219,0
10245896,0
10249350,0
10250548,0
10253279,0
10256032,0
10256578,0
10257907,0
10259146,0
10259390,0
10261346,0
10261980,0
10262217,0
10262338,0
10262990,0
10263625,0
10263694,0
10265307,0
10265613,0
10265615,0
10265616,0
10265620,0
10265630,0
10265657,0
10265674,0
10265676,0
10265681,0
10265689,0
10265726,0
10265727,0
10265786,0
10265791,0
10265811,0
10265825,0
10265912,0
10265937,0
10265942,0
10265947,0
10265969,0
10265981,0
10265995,0
10265997,0
10266830,0
10267420,0
10276620,0
10277792,0
10279789,0
10280153,0
10285901,0
10286451,0
10287740,0
10290,0
10292601,0
10294122,0
10294878,0
10294900,0
10295397,0
10295642,0
